x(m),Elapsed Time (sec), Depth (m),Discharge (m3/s),Velocity (m/s),Froude (-),Courant Number (-),WSE (m)
1198.3735,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,107.855350207608
1198.3735,906.880392725225,18.6017973953576,221.847139607793,3.10913383015906,0.233602868213134,0.703639521431932,117.595733389404
1198.3735,1807.31625747922,22.3859183812537,243.00039044484,2.80363083066584,0.191946815657835,0.722651306330191,121.3798543753
1198.3735,2702.81256142853,24.6883470264359,252.202585101438,2.63030304334941,0.171248730264585,0.730213585778144,123.682283020482
1198.3735,3600.6884067951,26.3359439852877,257.568970238306,2.51228400446107,0.15831182737895,0.734409468620247,125.329879979334
1198.3735,4507.96478925312,27.3676001650577,252.368047768261,2.3659382927327,0.146206993003364,0.739662536446104,126.361536159104
1198.3735,5404.49999973578,27.3427611537464,229.969987534982,2.15674758029394,0.133416736998253,0.745216133006444,126.336697147793
1198.3735,6304.30633950762,26.5749733388798,203.012770002471,1.9602608986845,0.123055013135144,0.749249082103698,125.568909332926
1198.3735,7208.33096874737,25.7054881347634,186.555048275077,1.86395287059219,0.119027009245325,0.749636744130073,124.69942412881
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1438.0482,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,107.654137406417
1438.0482,906.880392725225,18.160996805088,216.057605677953,3.10103732075375,0.236166688290276,0.696376265042586,116.953719997944
1438.0482,1807.31625747922,22.0808219117432,239.872215001474,2.80875532068821,0.193544658671573,0.718513677518847,120.873545104599
1438.0482,2702.81256142853,24.4361336585555,250.015030760929,2.6343463836896,0.172473795949531,0.727128293715359,123.228856851411
1438.0482,3600.6884067951,26.1315386193795,255.940545521339,2.51713233500355,0.15921228690611,0.732043142629322,124.924261812235
1438.0482,4507.96478925312,27.2049355340106,251.673735648161,2.37350724570454,0.147146974607839,0.738011612018454,125.997658726866
1438.0482,5404.49999973578,27.2447474966126,230.29952299093,2.16819748307144,0.134348333958377,0.744456118722208,126.037470689468
1438.0482,6304.30633950762,26.5231117844254,203.851304701336,1.97207626304011,0.123936069337393,0.749084387222538,125.315834977281
1438.0482,7208.33096874737,25.6775945535601,187.135912694827,1.87207688853881,0.119597522423174,0.749600848987807,124.470317746416
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677.7229,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,107.452924605226
1677.7229,906.880392725225,17.7431047760999,210.329714265138,3.09756203869968,0.238409074818591,0.689245058828927,116.334615167765
1677.7229,1807.31625747922,21.7614003930043,236.622226155417,2.81127058758357,0.195281021664187,0.714165502417047,120.352910784669
1677.7229,2702.81256142853,24.1903812355535,247.8187645343,2.63955221372173,0.173648514290659,0.724079361294482,122.781891627219
1677.7229,3600.6884067951,25.9187966878408,254.262937980214,2.52113530922126,0.160172618551364,0.729581630407581,124.510307079506
1677.7229,4507.96478925312,27.0448274240495,250.937489782109,2.38145587245284,0.14805613371592,0.736362333602627,125.636337815715
1677.7229,5404.49999973578,27.1393767629986,230.565283342055,2.17906166539746,0.135308245451186,0.743605912222149,125.730887154664
1677.7229,6304.30633950762,26.4717838527854,204.657989562146,1.98413620075042,0.124798758253588,0.748913321732859,125.063294244451
1677.7229,7208.33096874737,25.6446869941707,187.714064855456,1.88009717552471,0.120204192686372,0.749513464496522,124.236197385836
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1917.3976,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,107.251711804036
1917.3976,906.880392725225,17.3034382150497,204.297387428187,3.08465002379613,0.240826911603858,0.681628445183752,115.693735805524
1917.3976,1807.31625747922,21.4523402132634,233.360227039899,2.81567860361832,0.19690456665679,0.709872646275101,119.842637803738
1917.3976,2702.81256142853,23.9339258477266,245.542489160709,2.643256751805,0.174906740768809,0.720892808323345,122.324223438201
1917.3976,3600.6884067951,25.7107960154048,252.567412434829,2.52583629098143,0.161092510478642,0.727144370673132,124.101093605879
1917.3976,4507.96478925312,26.8769518810374,250.130673915739,2.38860000477936,0.149000597298202,0.734618876976788,125.267249471512
1917.3976,5404.49999973578,27.0348530142417,230.776558878423,2.19010639976258,0.136238138073698,0.742744754600777,125.425150604716
1917.3976,6304.30633950762,26.4137481317135,205.417139583505,1.99573922715943,0.125685943572838,0.748659813964974,124.804045722188
1917.3976,7208.33096874737,25.6129089830086,188.297789549816,1.88857957421965,0.120807698798746,0.749441682782751,124.003206573483
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2157.0723,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,107.050499002845
2157.0723,906.880392725225,16.8897537318387,198.364955490809,3.07672055797057,0.242845302051431,0.674185938923051,115.078838521122
2157.0723,1807.31625747922,21.128731474695,229.94835101995,2.81684929972999,0.198651169579565,0.70534783706176,119.317816263979
2157.0723,2702.81256142853,23.6846161132949,243.252209646624,2.6481104585082,0.176102663363982,0.717744100801866,121.873700902579
2157.0723,3600.6884067951,25.4947199767838,250.820913959563,2.52961090868191,0.162073745934032,0.72460952451386,123.683804766068
2157.0723,4507.96478925312,26.7118858638699,249.285993391524,2.3961732605592,0.149913019166467,0.73288100752044,124.900970653154
2157.0723,5404.49999973578,26.9229380866306,230.915631476457,2.20045216683728,0.137192946705088,0.741789453001442,125.112022875914
2157.0723,6304.30633950762,26.3564288460304,206.140308815089,2.00756623894157,0.126551562883183,0.748399591772284,124.545513635314
2157.0723,7208.33096874737,25.5762715314712,188.864272649636,1.89681798901288,0.121439647312633,0.749311225675394,123.765356320755
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2396.747,1,8.86141421356114,275.073868698097,8.41590398929475,0.939888191820263,0.072473475049131,106.849286201654
2396.747,906.880392725225,16.4549354306674,192.117229489613,3.05781870300445,0.244989961335492,0.666228243190088,114.442807418761
2396.747,1807.31625747922,20.816763460667,226.541361689111,2.82017667812116,0.200275129933596,0.700893439584913,118.80463544876
2396.747,2702.81256142853,23.4244724792891,240.872592168848,2.65125808207216,0.177381501897773,0.71444893030616,121.412344467382
2396.747,3600.6884067951,25.2836192166986,249.062516670655,2.53417767997966,0.163014300353057,0.722103449526891,123.271491204792
2396.747,4507.96478925312,26.5391570285067,248.367234820672,2.40287155865181,0.150860273123706,0.731046206859631,124.5270290166
2396.747,5404.49999973578,26.8126144232905,231.013838066528,2.21112679667427,0.138123059247012,0.740831121389509,124.800486411384
2396.747,6304.30633950762,26.2922309600233,206.815321312392,2.01892055475588,0.127443283952184,0.74805580883733,124.280102948116
2396.747,7208.33096874737,25.5407852671302,189.428923896819,1.90545947304345,0.122063477529475,0.74919384110131,123.528657255223
